molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
ancistrocladine,COc1cc(O)c(c2c1[C@H](C)N[C@H](C2)C)c1c(C)cc(c2c1cccc2OC)OC,default,5.9048,success,-7.39,,success,0.40506666666666663,407.51,5.14,2,5,59.95,4,1,-9.02,success
ancistrobrevine B,COc1cc(O)c(c2c1[C@H](C)N[C@H](C2)C)c1ccc(c2c1cc(C)cc2OC)OC,default,5.8275,success,-6.51,,success,0.36929166666666663,407.51,5.14,2,5,59.95,4,1,-9.04,success
ancistrobertsonine B,COc1cc(OC)c2c(c1c1c(C)cc(c3c1cccc3OC)OC)C[C@@H](N([C@@H]2C)C)C,default,5.8559,success,-6.42,,success,0.3686583333333333,435.56,5.79,0,5,40.16,5,1,-8.68,success
ancistrobertsonine C,COc1cc(OC)c2c(c1c1ccc(c3c1cc(C)cc3OC)OC)C[C@@H](N([C@@H]2C)C)C,default,5.754,success,-5.65,,success,0.3345,435.56,5.79,0,5,40.16,5,1,-8.7,success
"1,2-didehydroancistrobertsonine D",COC1=C(C(=O)C=C2C1=C(C)N[C@H](C2)C)c1c(C)cc(c2c1cccc2OC)OC,default,5.7887,success,-8.75,,success,0.44072500000000003,405.49,4.69,1,5,56.79,4,0,-9.63,success
ancistrobertsonine D,COc1c2[C@@H](C)N[C@H](Cc2cc(c1c1c(C)cc(c2c1cccc2OC)OC)O)C,default,5.8709,success,-7.48,,success,0.40524166666666667,407.51,5.14,2,5,59.95,4,1,-9.05,success
ancistrocladisine,COc1cc2C[C@@H](C)N=C(c2c(c1c1c(C)cc(c2c1cccc2OC)OC)OC)C,default,5.9172,success,-6.2,,success,0.3664333333333334,419.52,5.6,0,5,49.28,5,1,-8.74,success
"trans-1,2-dihydroancistrocladisine",COc1cc2C[C@@H](C)N[C@@H](c2c(c1c1c(C)cc(c2c1cccc2OC)OC)OC)C,default,5.7011,success,-6.83,,success,0.369425,421.54,5.44,1,5,48.95,5,1,-8.86,success
"cis-1,2-dihydroancistrocladisine",COc1cc2C[C@@H](C)N[C@H](c2c(c1c1c(C)cc(c2c1cccc2OC)OC)OC)C,default,5.7011,success,-6.72,,success,0.36575833333333335,421.54,5.44,1,5,48.95,5,1,-8.86,success
methylancistrobertsonine D,COc1c2[C@H](C)N[C@@H](Cc2cc(c1c1c(C)cc(c2c1cccc2OC)OC)O)C,default,5.8709,success,-6.68,,success,0.378575,407.51,5.14,2,5,59.95,4,1,-9.05,success
ancistrotanzanine A,COc1cc(OC)c2c(c1c1c(C)cc3c(c1O)c(OC)ccc3)C[C@@H](N=C2C)C,default,5.7563,success,-7.26,,success,0.38835833333333336,405.49,5.3,1,5,60.28,4,1,-9.06,success
ancistrotanzanine B,COc1cc(OC)c2c(c1c1ccc(c3c1cc(C)cc3OC)OC)C[C@@H](N=C2C)C,default,5.7474,success,-6.34,,success,0.35695,419.52,5.6,0,5,49.28,5,1,-8.72,success
ancistrotectoriline A,COc1cc(OC)c2c(c1c1ccc(c3c1cc(C)cc3OC)OC)C[C@@H](N[C@H]2C)C,default,5.6736,success,-7.01,,success,0.3731333333333334,421.54,5.44,1,5,48.95,5,1,-8.83,success
lettowianthine,O=C1C(=O)c2c3N1CCc1c3c(c3c2cccc3)c2c(c1)OCO2,default,6.0177,success,-9.96,,success,0.5001416666666667,317.3,2.81,0,4,55.84,0,0,-10.08,success
11-methyoxylettowianthine,COc1cccc2c1c1c3OCOc3cc3c1c1c2c(=O)c(=O)n1cc3,default,5.789,success,-10.06,,success,0.4844166666666667,345.31,2.71,0,6,66.76,1,0,-9.78,success
"11-hydroxyguaia-4,6-diene",CC1=C2C=C(CCC[C@@H]2CC1)C(O)(C)C,default,4.9683,success,-6.74,,success,0.30535833333333334,206.33,3.59,1,1,20.23,1,0,-10.07,success
liriodenine,O=C1c2ccccc2c2c3c1nccc3cc1c2OCO1,default,5.9659,success,-9.9,,success,0.49382500000000007,275.26,3.17,0,4,48.42,0,0,-9.96,success
(Z)-7-octadecen-9-ynoic acid,CCCCCCCCC#C/C=C\CCCCCC(=O)O,default,4.8304,success,-6.26,,success,0.27786666666666665,278.44,5.33,1,1,37.3,12,1,-8.18,success
"methyl (2E,6E,10R)-10,11-epoxy-3,7,11-trimethyl-2,6-dodecadienoate",COC(=O)/C=C(/CC/C=C(/CC[C@H]1OC1(C)C)\C)\C,default,4.8378,success,-8.18,,success,0.3424833333333333,266.38,3.79,0,3,38.83,7,0,-9.0,success
"methyl (2E,6E,10R)-10,11-dihydroxy-3,7,11-trimethyl-2,6-dodecadienoate",COC(=O)/C=C(/CC/C=C(/CC[C@H](C(O)(C)C)O)\C)\C,default,5.1669,success,-8.95,,success,0.39557499999999995,284.4,2.74,2,4,66.76,8,0,-9.19,success
"3,4,5-trimethoxyphenol",COc1c(OC)cc(cc1OC)O,default,4.0854,success,-8.38,,success,0.28645000000000004,184.19,1.42,1,4,47.92,3,0,-10.04,success
